N Time(s)
Serial: 50 0m0.059s
CUDA: 50 0m0.971s
Serial: 100 0m0.219s
CUDA: 100 0m1.617s
Serial: 150 0m0.463s
CUDA: 150 0m2.343s
Serial: 200 0m0.804s
CUDA: 200 0m4.082s
Serial: 250 0m1.244s
CUDA: 250 0m5.206s
Serial: 300 0m1.790s
CUDA: 300 0m6.295s
Serial: 350 0m2.424s
CUDA: 350 0m6.379s
Serial: 400 0m3.191s
CUDA: 400 0m7.533s
Serial: 450 0m4.018s
CUDA: 450 0m7.881s
Serial: 500 0m4.986s
CUDA: 500 0m9.143s
Serial: 550 0m6.015s
CUDA: 550 0m9.715s
Serial: 600 0m7.175s
CUDA: 600 0m10.116s
Serial: 650 0m8.618s
CUDA: 650 0m10.885s
Serial: 700 0m9.760s
CUDA: 700 0m11.642s
Serial: 750 0m11.400s
CUDA: 750 0m12.393s
Serial: 800 0m12.794s
CUDA: 800 0m13.866s
Serial: 850 0m14.407s
CUDA: 850 0m14.050s
Serial: 900 0m16.443s
CUDA: 900 0m14.664s
Serial: 950 0m18.010s
CUDA: 950 0m15.429s
Serial: 1000 0m19.978s
CUDA: 1000 0m15.893s
